X,Y,Z,N1,N2,N3,N4,N5,N6,N7,N8,W1,W2,W3,W4,W5,W6,W7,W8,W9,W0,F1,F2,Electricity,Start_Time,Phone_MAC,Phone_Brand,Phone_Android,Scan_Duration,Scan_Interval,Tx_Power,TRUE,t_cluster,t_sort,f_cluster,f_sort
90,30,0,-73,-82,-79,-82,-86,-78,-77,-72,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:25,B4:0B:44:F3:74:66,smartisan,7.1.1,29953,0,0,9030,0,0,1,1
90,30,0,-84,-83,-86,-82,-89,-75,-83,-72,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:25,B4:0B:44:F3:74:66,smartisan,7.1.1,29953,0,0,9030,1,1,1,1
90,30,0,-83,-79,-86,-80,-88,-75,-78,-72,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:25,B4:0B:44:F3:74:66,smartisan,7.1.1,29953,0,0,9030,0,0,1,1
90,30,0,-86,-76,-79,-82,-82,-79,-76,-71,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/28 16:25,B4:0B:44:F3:74:66,smartisan,7.1.1,29953,0,0,9030,0,0,8,2
90,30,0,-84,-91,-80,-91,-80,-80,-77,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:07,B4:0B:44:F3:74:66,smartisan,7.1.1,29753,0,0,9030,1,1,3,4
90,30,0,-93,-77,-78,-86,-84,-79,-78,-78,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:07,B4:0B:44:F3:74:66,smartisan,7.1.1,29753,0,0,9030,1,1,2,5
90,30,0,-79,-77,-79,-80,-86,-80,-76,-75,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:07,B4:0B:44:F3:74:66,smartisan,7.1.1,29753,0,0,9030,0,0,1,1
90,30,0,-81,-77,-80,-93,-81,-80,-76,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:07,B4:0B:44:F3:74:66,smartisan,7.1.1,29753,0,0,9030,1,1,3,4
90,30,0,-80,-77,-77,-94,-82,-80,-77,-75,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:07,B4:0B:44:F3:74:66,smartisan,7.1.1,29753,0,0,9030,1,1,3,4
90,30,0,-81,-81,-90,-86,-83,-82,-77,-75,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:07,B4:0B:44:F3:74:66,smartisan,7.1.1,29753,0,0,9030,1,1,5,6
90,30,0,-79,-82,-90,-96,-93,-78,-76,-77,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:07,B4:0B:44:F3:74:66,smartisan,7.1.1,29753,0,0,9030,1,1,5,6
90,30,0,-81,-82,-89,-91,-94,-79,-76,-77,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:07,B4:0B:44:F3:74:66,smartisan,7.1.1,29753,0,0,9030,1,1,5,6
90,30,0,-87,-86,-78,-87,-82,-80,-78,-71,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:07,B4:0B:44:F3:74:66,smartisan,7.1.1,29842,0,0,9030,1,1,3,4
90,30,0,-86,-78,-79,-91,-83,-79,-78,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:07,B4:0B:44:F3:74:66,smartisan,7.1.1,29842,0,0,9030,1,1,3,4
90,30,0,-90,-77,-77,-86,-82,-81,-77,-78,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:07,B4:0B:44:F3:74:66,smartisan,7.1.1,29842,0,0,9030,1,1,2,5
90,30,0,-92,-78,-79,-94,-81,-80,-77,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:07,B4:0B:44:F3:74:66,smartisan,7.1.1,29842,0,0,9030,1,1,2,5
90,30,0,-81,-77,-77,-94,-81,-78,-76,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:07,B4:0B:44:F3:74:66,smartisan,7.1.1,29842,0,0,9030,1,1,3,4
90,30,0,-82,-82,-90,-87,-93,-78,-76,-76,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,null100100100100100100100100000000000000000000000000000000000000,2021/12/31 12:07,B4:0B:44:F3:74:66,smartisan,7.1.1,29842,0,0,9030,1,1,5,6
